ID,Match Date,Kick-off Time,Competition
46330,01/04/2019,00:30,MLS
49520,01/04/2019,00:00,Primera A
49521,01/04/2019,02:30,Primera A
49733,01/04/2019,00:30,Primera A
49811,01/04/2019,19:00,Allsvenskan
49845,01/04/2019,19:00,Allsvenskan
49746,01/04/2019,19:00,Allsvenskan
17028,01/04/2019,20:00,Eerste Divisie
17027,01/04/2019,20:00,Eerste Divisie
17030,01/04/2019,20:00,Eerste Divisie
17026,01/04/2019,20:00,Eerste Divisie
17029,01/04/2019,20:00,Eerste Divisie
17032,01/04/2019,20:00,Eerste Divisie
12337,01/04/2019,21:15,Primeira Liga
9611,01/04/2019,20:30,2. Bundesliga
46633,01/04/2019,19:00,Superliga
15784,01/04/2019,18:00,Super League
46352,01/04/2019,03:00,MLS
13810,01/04/2019,20:30,Ligue 1
18645,01/04/2019,21:00,Segunda DivisiÃ³n
11858,01/04/2019,21:00,Premier League
17034,01/04/2019,20:00,Eerste Divisie
17035,01/04/2019,20:00,Eerste Divisie
17033,01/04/2019,20:00,Eerste Divisie
17031,01/04/2019,20:00,Eerste Divisie
9235,01/04/2019,20:45,Ligue 2
13087,02/04/2019,20:30,La Liga
12670,02/04/2019,19:00,Serie A
12665,02/04/2019,21:00,Serie A
11422,02/04/2019,20:45,League Two
10082,02/04/2019,20:45,Championship
10040,02/04/2019,20:45,Championship
8587,02/04/2019,18:00,Ekstraklasa
13090,02/04/2019,21:30,La Liga
8567,02/04/2019,18:00,Ekstraklasa
15499,02/04/2019,20:45,Eredivisie
11803,02/04/2019,20:45,Premier League
8568,02/04/2019,20:30,Ekstraklasa
8617,02/04/2019,20:30,Ekstraklasa
46634,02/04/2019,20:30,First Division A
11804,02/04/2019,20:45,Premier League
15498,02/04/2019,19:45,Eredivisie
15497,02/04/2019,18:30,Eredivisie
13085,02/04/2019,19:30,La Liga
11452,02/04/2019,20:45,League Two
15500,03/04/2019,18:30,Eredivisie
15501,03/04/2019,19:45,Eredivisie
12664,03/04/2019,21:00,Serie A
13093,03/04/2019,21:30,La Liga
12669,03/04/2019,21:00,Serie A
10695,03/04/2019,20:45,League One
12668,03/04/2019,21:00,Serie A
12667,03/04/2019,19:00,Serie A
10416,03/04/2019,20:45,Premiership
49561,03/04/2019,01:00,Primera A
49564,03/04/2019,03:00,Primera A
49565,03/04/2019,23:00,Primera A
10415,03/04/2019,20:45,Premiership
10431,03/04/2019,20:45,Premiership
10432,03/04/2019,20:45,Premiership
10414,03/04/2019,20:45,Premiership
15502,03/04/2019,19:45,Eredivisie
46635,03/04/2019,20:30,First Division A
11739,03/04/2019,20:45,Premier League
11799,03/04/2019,20:45,Premier League
12663,03/04/2019,21:00,Serie A
13092,03/04/2019,20:30,La Liga
8566,03/04/2019,18:00,Ekstraklasa
8613,03/04/2019,20:30,Ekstraklasa
8565,03/04/2019,18:00,Ekstraklasa
12666,03/04/2019,21:00,Serie A
13074,03/04/2019,19:30,La Liga
13086,03/04/2019,20:30,La Liga
13811,03/04/2019,19:00,Ligue 1
15503,03/04/2019,20:45,Eredivisie
13807,03/04/2019,19:00,Ligue 1
8569,03/04/2019,20:30,Ekstraklasa
10413,03/04/2019,20:45,Premiership
11792,03/04/2019,20:45,Premier League
12687,04/04/2019,21:00,Serie A
13089,04/04/2019,19:30,La Liga
9597,04/04/2019,19:00,2. Bundesliga
49566,04/04/2019,03:00,Primera A
49581,04/04/2019,01:00,Primera A
13088,04/04/2019,20:30,La Liga
15505,04/04/2019,20:45,Eredivisie
46636,04/04/2019,20:30,First Division A
13091,04/04/2019,21:30,La Liga
15504,04/04/2019,18:30,Eredivisie
12688,04/04/2019,19:00,Serie A
8944,05/04/2019,20:00,Ligue 2
49568,05/04/2019,01:00,Primera A
49569,05/04/2019,03:00,Primera A
19108,05/04/2019,21:00,Segunda DivisiÃ³n
17043,05/04/2019,20:00,Eerste Divisie
13815,05/04/2019,20:45,Ligue 1
9261,05/04/2019,20:00,Ligue 2
9262,05/04/2019,20:00,Ligue 2
17038,05/04/2019,20:00,Eerste Divisie
17037,05/04/2019,20:00,Eerste Divisie
11801,05/04/2019,21:00,Premier League
13318,05/04/2019,20:30,1. Bundesliga
9633,05/04/2019,18:30,2. Bundesliga
9628,05/04/2019,18:30,2. Bundesliga
46637,05/04/2019,19:00,Superliga
17039,05/04/2019,20:00,Eerste Divisie
9161,05/04/2019,20:00,Ligue 2
8572,05/04/2019,18:00,Ekstraklasa
8574,05/04/2019,20:30,Ekstraklasa
17036,05/04/2019,20:00,Eerste Divisie
17041,05/04/2019,20:00,Eerste Divisie
9246,05/04/2019,20:00,Ligue 2
9260,05/04/2019,20:00,Ligue 2
12347,05/04/2019,21:30,Primeira Liga
9259,05/04/2019,20:00,Ligue 2
9245,05/04/2019,20:00,Ligue 2
17042,05/04/2019,20:00,Eerste Divisie
17044,05/04/2019,20:00,Eerste Divisie
17040,05/04/2019,20:00,Eerste Divisie
15573,06/04/2019,18:00,Super League
15571,06/04/2019,16:15,Super League
10874,06/04/2019,16:00,League One
10879,06/04/2019,16:00,League One
11463,06/04/2019,16:00,League Two
19107,06/04/2019,18:00,Segunda DivisiÃ³n
11461,06/04/2019,16:00,League Two
10875,06/04/2019,16:00,League One
10878,06/04/2019,16:00,League One
11462,06/04/2019,16:00,League Two
12346,06/04/2019,16:30,Primeira Liga
19070,06/04/2019,16:00,Segunda DivisiÃ³n
15575,06/04/2019,18:30,Super League
10435,06/04/2019,16:00,Premiership
49555,06/04/2019,22:15,Primera A
49839,06/04/2019,16:00,Allsvenskan
49847,06/04/2019,16:00,Allsvenskan
46333,06/04/2019,19:00,MLS
46335,06/04/2019,21:00,MLS
9810,06/04/2019,16:00,Championship
10150,06/04/2019,16:00,Championship
11798,06/04/2019,16:00,Premier League
10152,06/04/2019,16:00,Championship
10153,06/04/2019,16:00,Championship
10154,06/04/2019,16:00,Championship
10171,06/04/2019,16:00,Championship
10155,06/04/2019,16:00,Championship
10164,06/04/2019,16:00,Championship
10880,06/04/2019,16:00,League One
10881,06/04/2019,16:00,League One
13316,06/04/2019,15:30,1. Bundesliga
12345,06/04/2019,19:00,Primeira Liga
12455,06/04/2019,21:30,Primeira Liga
12352,06/04/2019,16:30,Primeira Liga
13076,06/04/2019,18:30,La Liga
10433,06/04/2019,16:00,Premiership
46642,06/04/2019,17:00,Bundesliga
8573,06/04/2019,20:30,Ekstraklasa
13079,06/04/2019,16:15,La Liga
46638,06/04/2019,20:30,First Division A
9241,06/04/2019,14:55,Ligue 2
9619,06/04/2019,13:00,2. Bundesliga
10158,06/04/2019,16:00,Championship
15509,06/04/2019,20:45,Eredivisie
46640,06/04/2019,16:00,Superliga
10883,06/04/2019,16:00,League One
13819,06/04/2019,20:00,Ligue 1
13300,06/04/2019,18:30,1. Bundesliga
13302,06/04/2019,15:30,1. Bundesliga
11464,06/04/2019,16:00,League Two
13078,06/04/2019,20:45,La Liga
13301,06/04/2019,15:30,1. Bundesliga
10163,06/04/2019,16:00,Championship
13814,06/04/2019,20:00,Ligue 1
12679,06/04/2019,15:00,Serie A
13105,06/04/2019,13:00,La Liga
12680,06/04/2019,18:00,Serie A
13817,06/04/2019,17:00,Ligue 1
11539,06/04/2019,16:00,League Two
11457,06/04/2019,16:00,League Two
9627,06/04/2019,13:00,2. Bundesliga
11522,06/04/2019,16:00,League Two
11460,06/04/2019,16:00,League Two
11459,06/04/2019,16:00,League Two
11458,06/04/2019,16:00,League Two
46331,06/04/2019,04:00,MLS
46355,06/04/2019,21:00,MLS
19075,06/04/2019,20:30,Segunda DivisiÃ³n
46641,06/04/2019,17:00,Bundesliga
10161,06/04/2019,13:30,Championship
46639,06/04/2019,17:00,Bundesliga
10877,06/04/2019,16:00,League One
19069,06/04/2019,18:00,Segunda DivisiÃ³n
10151,06/04/2019,16:00,Championship
13303,06/04/2019,15:30,1. Bundesliga
13319,06/04/2019,15:30,1. Bundesliga
10873,06/04/2019,16:00,League One
15508,06/04/2019,18:30,Eredivisie
13813,06/04/2019,20:00,Ligue 1
10882,06/04/2019,16:00,League One
10876,06/04/2019,16:00,League One
15506,06/04/2019,20:45,Eredivisie
8571,06/04/2019,15:30,Ekstraklasa
8618,06/04/2019,18:00,Ekstraklasa
15510,06/04/2019,18:30,Eredivisie
